"K24","A","(FLURAZEPAME.dd>0 OR NITRAZEPAME.dd>0 OR CHLORAZEPATE.dd>0 OR DIAZEPAM.dd>0)","Dolgoldelujoči benzodiazepini in benzodiazepini z dolgo delujočimi metaboliti lahko povečajo tveganje za podaljšano sedacijo, zmedenost, motnje ravnotežja, padce.","Long term (i.e. >1 month) long-acting benzodiazepines (chlordiazepoxide, fluazepam, nitrazepam, chlorazepate) and benzodiazepines with long-acting metabolites (diazepam) cause risk of prolonged sedation, confusion, imapired balance, falls."
"K25","A","(AHTIPSYCHOTICS_ALL.dd>0 OR NEUROLEPTICS.dd>0) AND V10","Nevroleptiki niso primerni za jemanje kot hipnotiki (tveganje za zmedenost, hipotenzijo, ekstrapiramidne stranske učinke, padce)","Long-term use (>1 month) of neuroleptics as long-term hypnotics is potentially inappropriate because of risk of confusion, hypotension, extrapyramidal side effects and falls."
"K26","A","(AHTIPSYCHOTICS_ALL.dd>0 OR NEUROLEPTICS.dd>0) AND B23","Dolgotrajno jemanje nevroleptikov pri bolnikih s parkinsonizmom lahko poslabša ekstrapiramidne simptome.","Long-term use (>1 month) of neuroleptics in patients with parkinsonism is likely to worsen extrapyramidal symptoms."
"K27","A","(PHENOTHIAZINES.dd>0) AND B24","Pri bolnikih z epilepsijo lahko fenotiazini znižajo prag za epileptični napad.","Phenotiazines in patients with epilepsy may lower seizure threshold."
"K28","A","(BIPERIDEN.dd>0) AND V11","Uporaba antiholinergikov za zdravljenje ekstrapiramidnih stranskih učinkov nevroleptikov lahko privede do antiholinergičnih toksičnih učinkov","Anticholinergics used to treat extrapyramidal side-effects of neuroleptic medication are potentially inappropriate because of risk of anticholinergic toxicity."
"K29","A","(SSRI.dd>0) AND B25","SSRI lahko povečajo tveganje za hiponatremijo","Selective serotonin re-uptake inhibitors (SSRI's) are potentially inappropriate in a patient with a history of clinically significant hyponatremia (non-iatrogenic hyponatremia <130mmol/l within the previous 2 months)."
"K30","A","(LOPERAMIDE.dd>0 OR CODEIN.dd>0) AND B26","Predpisovanje loperamida ali kodeinijevega fosfata pri driski neznanega vzroka poveča tveganje za pozno diagnozo, poslabša zaprtje pri overflow driski, lahko povzroči toksični megakolon pri vnetni črevesni bolezni in zavre okrevanje pri neprepoznanem gastroenteritisu.","Use of diphenoxylate, loperamide or codeine phosphate for treatment of diarrhoea of unknown cause presents risk of delayed diagnosis, may exacerbate constipation with overflow diarrhoea, may preceipitate toxic megacolon in inflammatory bowel disease and may delay recovery in unrecognised gastroenteritis. "
"K31","A","(LOPERAMIDE.dd>0 OR CODEIN.dd>0) AND B27","Predpisovanje loperamida ali kodeinijevega fosfata pri hudem infekcijskem gastroenteritisu lahko povzroči ponovni zagon ali podaljšano okužbo","Use of diphenoxylate, loperamide or codeine phosphate for treatment of severe infective gastroenteritis (bloody diarrhoea, high fever or severe systemic toxicity) may present risk of exacerbation or protraction of infection."
"K32","A","(METOCLOPRAMIDE.dd>0) AND B23","Metoklopramid lahko poslabša parkinsonizem.","Use of prochlorperazine or metoclopramide in patient with Parkinsonism may exacerbate Parkinsonism."
"K33","AB","(ESOMEPRAZOLE.dd>=80 OR OMEPRAZOLE.dd>=80 OR PANTOPRAZOLE.dd>=80 OR LANSOPRAZOLE.dd>=60) AND V12","Inhibitorji protonske črpalke niso priporočljivi v maksimalnih dozah dlje kot 8 tednov.  Priporočljiva je ukinitev znotraj 8 tednov ali zmanjšanje doze za vzdrževalno oziroma kontinuirano zdravljenje.","It is potentially inappropriate to use proton pump inhibitors at full therapeutic dosage for longer than 8 weeks; earlier discontinuation or dose reduction for maintenance or prophylactic treatment is indicated."
"K34","A","(SCOPOLAMINE.dd>0) AND B5","Antiholinergični spazmolitiki lahko poslabšajo zaprtje.","Anticholinergic antispasmodic drugs, used in patient with chronic constipation, may exacerbate constipation."
"K35","AB","TEOPHYLLINE.dd>0 AND V13","Teofilin ni indiciran za monoterapijo za KOPB zaradi tveganja za nezaželene učinke zaradi ozkega terapevtskega indeksa; obstajajo varnejše alternative.","Theophylline is not appropriate as a monotherapy for COPD. Safer, more effective alternatives exist; there is risk of adverse effects due to narrow therapeutic index."
"K36","AB","(SYSTEMIC_CORTICOSTEROIDS.dd>0) AND V14","Sistemski kortikosteroidi niso priporočljivi za vzdrževalno terapijo za KOPB (nepotrebno izpostavljanje dolgoročnim sistemskim stranskim učinkom)","Systemic corticosteroids instead of inhaled corticosteroids for maintenance therapy in moderate to severe COPD are potentially inappropriate due to unnecessary exposure to long-term side-effects of systemic steroids."
"K37","A","(IPRATROPIUM.dd>0) AND B19","Nebuliziran ipratropij lahko povzroči poslabšanje glavkoma.","Using nebulized ipratropium in a patient with glaucoma may exacerbate glaucoma."
"K38","AB","(NSAID.dd>0) AND (B6 OR B47 OR B7) AND NOT (H2ANTAGONISTS.dd>0 OR PPI.dd>0)","Nesteroidni antirevmatiki pri bolniku, ki je že imel GERB ali sorodna stanja in nima zaščite za želodec, povečajo tveganje za ponovitev ulkusne bolezni želodca.","Non-steroidal anti-inflammatory drug with a history of peptic ulcer disease or gastrointestinal bleeding is potentially inappropriate, unless used with concurrent histamine H2 receptor antagonis, proton pump inhibitor or misoprostol, due to risk of peptic ulcer relapse."
"K39","A","(NSAID.dd>0) AND B28","Nesteroidni antirevmatiki lahko poslabšajo hipertenzijo.","Nonsteroidal anti-inflammatory drug used in a patient with moderate to severe hypertension may exacerbate hypertension."
"K40","AB","NSAID.dd>0 AND (B4 OR B29)","Nesteroidni antirevmatiki lahko poslabšajo srčno popuščanje","Nonsteroidal anti-inflammatory drug used in a patient with heart failure may exacerbate heart failure."
"K41","A","NSAID.dd>0 AND V15 AND V16","Pri blagi osteoartrozi so enostavni analgetiki bolj priporočljivi in ponavadi enako učinkoviti za lajšanje bolečine, kot nesteroidni antirevmatiki.","Long-term use of non-steroidal anti-inflammatory drugs (more than 3 months) for relief of mild joint pain in osteoarthritis is potentially inappropriate. Simple analgesics are preferable and usually as effective for pain relief."
"K42","A","NSAID.dd>0 AND WARFARIN.dd>0","Nesteroidni antirevmatiki ob varfarinu povečajo tveganje za gastrointestinalno krvavitev","Concurrent use of warfarin and non-steroidal anti-inflammatory drugs is potentially inappropriate because of risk of gastro-intestinal bleeding."
"K43","AB","NSAID.dd>0 AND B1","Nesteroidni antirevmatiki lahko poslabšajo ledvično funkcijo","Non-steroidal anti-inflammatory drug in presence of chronic renal failure is potentially inappropriate due to risk of deterioration of renal fuction."
"K44","A","SYSTEMIC_CORTICOSTEROIDS.dd>0 AND V17","Jemanje sistemskih kortikosteroidov kot monoterapije za revmatoidni artritis ni priporočljivo zaradi tveganja za  hujše sistemske stranske učinke","Long-term use (>3 months) of corticosteroids as monotherapy for rheumatoid arthritis or osteoarthritis is potentially inappropriate due to major systemic corticosteroid side-effects."
"K45","AB","(NSAID.dd>0 OR COLHICINE.dd>0) AND B2 AND NOT V18","Pri putiki je profilaktično zdravilo izbora alopurinol.","Long-term use of non-steroidal anti-inflammatory drugs or colchicine for chronic treatment of gout where there is no contraindications to allopurinol is potentially inappropriate; allopurinol is the first choice prophylactic drug in gout. "
"K46","AB","(ANTIMUSCARINIC_DRUGS.dd>0) AND B18","Uporaba antimuskarinikov pri demenci poveča tveganje za poslabšanje zmedenosti in agitacijo","Bladder antimuscarinic drugs in patient with dementia may cause increased confusion and agitation."
"K47","AB","(ANTIMUSCARINIC_DRUGS.dd>0) AND B19","Antimuskariniki povečajo tveganje za akutno poslabšanje glavkoma.","Bladder antimuscarinic drugs in patient with chronic glaucoma may cause acute exacerbation of glaucoma."
"K48","A","(ANTIMUSCARINIC_DRUGS.dd>0) AND B15","Antimuskarini lahko poslabšajo zaprtje.","Bladder antimuscarinic drugs in patient with chronic constipation may cause exacerbation of constipation."
"K49","AB","(ANTIMUSCARINIC_DRUGS.dd>0) AND B21","Antimuskariniki lahko povzročijo retenco urina.","Bladder antimuscarinic drugs in patient with chronic prostatism may cause urinary retention."
"K50","A","(ALPHA_BLOCKERS.dd>0) AND B30 AND MALE","Alfa blokatorji lahko povzročijo pogosto uriniranje in poslabšanje inkontinence","Alpha-blockers in males with frequent incontinence may cause urinary frequency and worsening of incontinence."
"K51","A","(ALPHA_BLOCKERS.dd>0) AND B31","Pri bolniku s stalnim urinskim katetrom alfa blokator ni indiciran.","In patients with long-term urinary catheter in situ (for more than 2 months), alpha-blockers are not indicated."
"K52","A","(GLIBENCLAMIDE.dd>0 OR CHLORPROPAMIDE.dd>0) AND B32","Glibenklamid ali klorpropamid povečata tveganje za prolongirano hipoglikemijo.","Glibenclamide or chlorpropamide in type 2 diabetes mellitus may cause prolonged hypoglycemia."
"K53","AB","(BETABLOCKERS.dd>0) AND B32 AND B33","Beta blokator lahko zakrije simptome hipoglikemije","Beta-blockers may cause masking of hypoglycaemic symptoms in patients with diabetes mellitus with frequent hypoglycaemic episodes."
"K54","AB","ESTROGENS.dd>0 AND (B34 OR B15)","Anamneza raka dojke ali GVT in jemanje estrogenov: povečano tveganje za ponovitev rakave ali trombembolične bolezni","Oestrogens are potentially inappropriate in a patient with a history of breast cancer or venuous thromboembolisms due to risk of recurrence."
"K55","AB","ESTROGENS.dd>0 AND NOT PROGESTOGENS.dd>0 AND V19","Jemanje estrogenov brez progestogenov poveča tveganje za rak endometrija.","Oestrogens without progestogen in patient with intact uterus increase risk of endometrial cancer."
"K56","A","BENZODIAZEPINS.dd>0 AND B35","Zaradi sedacije ter slabitve senzorike in vpliva na ravnotežje benzodiazepini niso primerni za starostnike, nagnjene k padcem.","Benzodiazepines are potentially inappropriate in elderly who are prone to falls (one or more falls in past 3 months), since they act as sedatives and may cause reduced sensorium and impair balance."
"K57","A","(AHTIPSYCHOTICS_ALL.dd>0 OR NEUROLEPTICS.dd>0) AND B35","Pri bolniku, ki je nagnjen k padcem, lahko nevroleptiki povzročijo Parkinsonizem ali dispraksijo.","Neuroleptic drugs are potentially inappropriate in elderly who are prone to falls (one or more falls in past 3 months), since they may cause gait dyspraxia and Parkinsonism."
"K58","A","ANTIHISTAMINICS_1STGEN.dd>0 AND B35","Antihistaminiki prve generacije prispevajo k tveganju za padce zaradi sedacije in oslabljene senzorike.","First generation antihistamines are potentially inappropriate in elderly who are prone to falls (one or more falls in past 3 months), since they are sedative and may impair sensorium."
"K59","AB","VASODILATORS.dd>0 AND B35 AND B39","Vazodilatatorna zdravila niso primerna za starostnike, nagnjene k padcem, pri katerih je prisotna posturalna hipotenzija.","Vasodilator drugs, known to cause hypotension in those with persistent postural hypotension are potentially inappropriate for elderly who are prone to falls because of the risk of syncope and falls."
"K60","A","(OPIOIDS_ALL.dd>0) AND B35","Opioidni analgetiki povečajo tveganje za omotico, posturalno hipotenzijo in vrtoglavico, zato so manj primerni za starostnike, ki so nagnjeni k padcem.","Long-term opiates are potentially inappropriate in patients with recurrent falls, since they may cause drowsiness, postural hypotension and vertigo."
"K61","A","(OPIOIDS.dd>0) AND V20","Pri predpisovanju analgetikov je priporočljivo upoštevati WHO analgetično lestvico (potencialno neprimerna dolgotrajna uporaba močnih opioidov kot zdravljenje prve izbire za blago do zmerno bolečino).","Use of long-term powerful opiates (morphine, fentanyl) as first line therapy for mild-moderate pain is potentially inappropriate, because it disregards WHO analgesic ladder."
"K62","A","(OPIOIDS_ALL.dd>0) AND B5 AND NOT V21","Pri bolniku s kroničnim zaprtjem, ki ne prejema odvajal, opiodni analgetiki povečajo tveganje za hudo zaprtje.","Use of regular opiates for more than 2 weeks in those with chronic constipation without concurrent use of laxatives may cause severe constipation."
"K63","A","(OPIOIDS_ALL.dd>0) AND B18 AND NOT (B36 OR V22)","Opioidni analgetiki lahko poslabšajo kognitivno okvaro.","Long-term opiates in patients with dementia are potentially inappropriate because of risk of exacerbation of cognitive impairment, unless they are indicated for palliative care or management of moderate/severe chronic pain syndrome."
"K64","AB","V29","Podvojevanje enakih zdravil ni priporočljivo.","Duplicating therapy (regular duplicate drug class prescription, e.g. two concurrent opiates, NSAIDs, SSRIs, loop diuretics, ACE inhibitors etc) is potentially inappropriate. Optimization of monotherapy within a single drug class should be observed prior to considering a new class of drug."
"K65","A","B37 AND NOT B54 AND NOT WARFARIN.dd>0","Pri kronični atrijski fibrilaciji je priporočljivo uvesti varfarin, če zanj ni kontraindikacij.","In presence of chronic atrial fibrillation, warfarin prescription should be considered."
"K66","A","B37 AND B54 AND NOT B55 AND NOT (ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0)","Pri kronični atrijski fibrilaciji je v primeru kontraindikacije za varfarin priporočljivo uvesti aspirin.","In presence of chronic atrial fibrillation, where warfarin is contraindicated, but not aspirin, aspirin prescription should be considered."
"K67","A","(B12 OR B8 OR B9 OR B10 OR B11 OR B13 ) AND NOT ((ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0)  or CLOPIDOGREL.dd>0)","V prisotnosti aterosklerotične koronarne, cerebralne ali perferine žilne bolezni pri pacientih v sinusnem ritmu je priporočljivo zdravljenje z aspirinom ali klopidogrelom.","In patients with sinus rhythm and a documented history of atherosclerotic coronary, cerebral or peripheral vascular disease, aspirin or clopidogrel should be considered."
"K68","AB","B28 AND NOT (ANTIHYPERTENSIVES.dd>0)","Pri konzistentno povišanem tlaku nad 160 mm Hg je priporočljivo zdraviti visok pritisk.","In patients with systolic blood pressure consistently above 160 mm Hg, antihypertensive therapy should be considered."
"K69","A","(B12 OR B8 OR B9 OR B10 OR B11 OR B13 ) AND B38 AND NOT STATINS.dd>0 AND V25","Pri potrjeni anamnezi koronarne, cerebralne ali periferne žilne bolezni je pri bolniku, ki je neodvisen v dnevnih aktivnostih, in ima pričakovano življenjsko dobo daljšo od 5 let, priporočljivo predpisati zdravljenje s statinom.","In patients whose functional status remains independent for activites of daily living and whose life expectancy is longer than 5 years, and have a documented history of oronary, cerebral or peripheral vascular disease, statin therapy should be considered."
"K70","A","(B4 OR B29) AND NOT (ACEINHIBITORS.dd>0)","Pri kroničnem srčnem popuščanju je pripročljivo predpisati ACE inhibitor.","In chronic heart failure, ACE inhibitor should be considered."
"K71","A","B8 AND NOT (ACEINHIBITORS.dd>0)","Po akutnem miokardnem infarktu je priporočljivo predpisati ACE inhibitor.","Following acute myocardial infarction, ACE inhibitor should be considered."
"K72","A","B9 AND NOT (BETABLOCKERS.dd>0)","Pri kronični stabilni angini pektoris je priporočljivo predpisati beta blokator.","In chronic stable angina, beta blocker should be considered."
"K73","AB","(B3 OR B41) AND NOT (BETA2_AGONISTS.dd>0 OR ANTIHOLINERGICS.dd>0)","Pri blagi do zmerni astmi in KOPB je pripročljivo redno zdravljenje z inhalacijskim beta-2 agonistom ali antiholinergiki.","In a patient with mild to moderate asthma or COPD, a regular inhaled beta 2 agonist or anticholinergic agent should be considered."
"K74","A","(B40 OR B42) AND NOT (INHALED_GLUCOCORTICOIDS.dd>0)","Pri hudi astmi in KOPB je priporočljivo redno zdravljenje z inhalacijskim kortikosteroidom.","In a patient with moderate-severe asthma or COPD, where predicted FEV1 < 50%, regular inhaled corticosteroid should be considered."
"K75","AB","(B43 OR B44) AND NOT B45","Pri respiratorni odpovedi tipa 1 in tipa 2 je priporočljivo zdravljenje s kisikom na domu.","In a documented chronic type 1 respiratory failure (pO2<8.0 kPa, pCO2<6.5 kPa) or type 2 respiratory failure (pO2< 8.0 kPa, pCO2>6.5 kPa), home continuous oxygen should be considered."
"K76","A","B23 AND NOT LEVODOPA.dd>0 AND V26 AND V27","Pri idiopatski Parkinsonovi bolezni, kjer je prisotna definitivna funkcionalna prizadetost, je priporočljivo zdravljenje z levodopo.","In apatient with idiopathic Parkinson's disease with definite functional impairment and resultant disability, L-DOPA should be considered."
"K77","A","B46 AND NOT ANTIDEPRESSANTS.dd>0","Pri zmernih do hudih depresivnih simptomih, ki trajajo dlje kot tri mesece, je potrebno zdravljenje z antidepresivom.","In the presence of moderate-severe depressive symptoms lasting at least 3 months, antidepressant drug should be considered."
"K78","AB","(B47 OR B48) AND NOT (PPI.dd>0)","Pri hudi GERB in pri peptični zožitvi, ki zahteva dilatacijo, bi bolnik moral prejemati inhibitor protonske črpalke.","In patients with severe gastro-oesophageal acid reflux disease or peptic stricture requiring dilatation, proton pump inhibitors should be considered."
"K79","AB","B49 AND NOT (DMARD.dd>0)","Aktivno zmerno do hudo revmatično bolezen, ki traja dlje od 12 tednov, je potrebno zdraviti z bolezen-modificirajočimi antirevmatičnimi zdravili","In patients with active moderate-severe rheumatoid disease lasting more than 12 weeks, disease-modifying antirheumatic drug (DMARD) should be considered."
"K80","A","SYSTEMIC_CORTICOSTEROIDS.dd>0 AND NOT BISPHOSPHONATES.dd>0","Pri vzdrževalnem zdravljenju s sistemskimi glukokortikoidi je potrebno preprečevanje glukokortikoidne osteoporoze z zdravljenjem z bisfosfonati.","In patients taking maintenance oral corticosteroid therapy, bisphosphonates should be considered."
"K81","A","B50 AND NOT (CALCIUM.dd>0 AND VITAMIN_D.dd>0)","Znano osteoporozo je potrebno zdraviti s kalcijem in vitaminom D","In patients with known osteoporosis (radiological evidence or previous fragility fracture or acquired dorsal kyphosis), calcium and vitamin D supplement should be considered."
"K82","A","(B32 AND NOT B1) AND NOT METFORMIN.dd>0","Pri sladkorni bolezni tipa 2 z ali brez metabolnega sindroma je priporočljivo zdravljenje z metforminom, če ni prisotna okvara ledvic.","In type 2 diabetes mellitus with or without metabolic syndrome (in absence of renal impairment), metformin should be considered."
"K83","A","((B32 OR B56) AND B51) AND NOT (ACEINHIBITORS.dd>0 OR SARTANS.dd>0)","Pri sladkorni bolezni tipa 2 z diabetično nefropatijo je priporočljivo zdravljenje z ACE inhibitorjem ali blokatorjem angiotenzinskih receptorjev (sartanom),","In patients with diabetes with nephropathy (overt urinalysis proteinuria or microalbuminuria (>30ml/24h) with or without serum biochemical renal impairment, ACE inhibitor or angiotensin receptor blocker should be considered."
"K84","A","NOT ((ASPIRIN.dd>0 OR ASPIRIN_ATC.dd>0) OR CLOPIDOGREL.dd>0 OR TICLOPIDINE.dd>0) AND ((B32 OR B56) AND (B52 OR B28 OR B53 OR V28)) AND NOT B55","Pri sladkorni bolezni z enim ali več pomembnimi kardiovaskularnimi dejavniki tveganja je priporočljivo antiagregacijsko zdravljenje.","In patients with diabetes mellitus with one or more co-existing major cardiovascular risk factors present (hypertension, hypercholesterolaemia, smoking history), aspirin should be considered."
"K85","A","NOT (STATINS.dd>0) AND ((B32 OR B56) AND (B52 OR B28 OR B53 OR V28))","Pri sladkorni bolezni tipa 2 z enim ali več pomembnimi kardiovaskularnimi dejavniki tveganja je priporočljivo preventivno zdravljenje s statinom.","In patients with diabetes mellitus with one or more co-existing major cardiovascular risk factors present (hypertension, hypercholesterolaemia, smoking history), statin should be considered."
"K86","AB","(DIPHENHYDRAMINE.dd>0 OR CHLORPHENIRAMINE.dd>0 OR CYCLIZINE.dd>0 OR PROMETHAZINE.dd>0) AND V30","Zaradi tveganja za sedacijo in antiholinergične stranske učinke ni priporočljiva uporaba antihistaminikov prve generacije dlje kot 1 teden.","Due to risk of sedation and anticholinergic side effects it is inadvisable to use first generation antihistamines for longer than 1 week."
"K87","AB","B5 AND V31 AND NOT V32","Pri simptomatski divertikulozi s kroničnim zaprtjem je pripročljivo jemati prehranske dodatke z vlakninami.","In patients with chronic, symptomatic diverticular disease with constipation, fibre supplement should be considered."
"K88","B","(BETABLOCKERS.dd>0) AND V34","Beta blokator pri bradikardiji ali AV bloku II ali III stopnje lahko povzroči hipotenzijo ali asistolijo.","Beta blocker should not be used with symptomatic bradycardia (< 50/min), type II heart block or complete heart block (risk of profound hypotension, asystole)."
"K89","B","(AMIODARON.dd>0) AND B57 AND V35","Amjodaron ni primeren kot terapija prvega izbora pri supraventrikularnih tahiaritmijah. ","Amiodarone is not suitable as first-line therapy in supraventricular tachyarrhytmias."
"K90","B","DIGOXIN.dd>0 AND V33","Ni dokazov za učinkovitost digoksina pri srčnem popuščanju pri ohranjeni sistolni funkciji. ","Digoxin at a long-term dose > 125mg with impaired renal function (estimated GFT >50ml/min) is potentially inappropriate because of increased toxicity risk."
"K91","B","THIAZIDE.dd>0 AND (B58 OR B25 OR B60 OR B2)","Tiazidni diuretiki lahko poslabšajo putiko, hipokaliemijo, hiponatremijo ali hiperkalcemijo.","Thiaside diuretic may exacerbate gout, hypokalaemia, hyponatraemia or hypercalcemia."
"K92","B","(FUROSEMID.dd>0 OR TORASEMID.dd>0) AND B30 AND (V2 OR V34)","Diuretik zanke lahko poslabša inkontinenco.","Loop diuretic may exacerbate urinary incontinence."
"K93","B","CENTRAL_ANTIHYPERTENSIVES.dd>0 AND NOT V37","Starejši ljudje težje prenašajo centralne antihipertenzive, zato ti niso priporočljivi.","Older people tolerate centrally-acting antihypertensives less well than younger people."
